city;state_id;state_name;county_name;lat;lng;population;density;timezone;ranking;id
Miami;FL;Florida;Miami-Dade;25,7840;-80,2101;6080145;4758,9;America/New_York;1;1840015149
Tampa;FL;Florida;Hillsborough;27,9945;-82,4447;2861173;1320,9;America/New_York;1;1840015982
Orlando;FL;Florida;Orange;28,4773;-81,3370;1882705;1070,2;America/New_York;1;1840015099
Jacksonville;FL;Florida;Duval;30,3322;-81,6749;1288298;491,0;America/New_York;1;1840015031
Cape Coral;FL;Florida;Lee;26,6443;-81,9957;654405;724,2;America/New_York;2;1840015130
Palm Bay;FL;Florida;Brevard;27,9631;-80,6593;534348;542,9;America/New_York;2;1840015094
Port St. Lucie;FL;Florida;St. Lucie;27,2796;-80,3884;462047;681,8;America/New_York;2;1840015119
Bonita Springs;FL;Florida;Lee;26,3558;-81,7859;449527;542,2;America/New_York;2;1840014227
Kissimmee;FL;Florida;Osceola;28,3041;-81,4169;431618;1409,2;America/New_York;2;1840015109
Pensacola;FL;Florida;Escambia;30,4413;-87,1911;398813;917,0;America/Chicago;2;1840015005
Winter Haven;FL;Florida;Polk;28,0118;-81,7014;293093;596,3;America/New_York;2;1840015970
Lakeland;FL;Florida;Polk;28,0557;-81,9545;280346;663,9;America/New_York;2;1840015108
St. Petersburg;FL;Florida;Pinellas;27,7931;-82,6652;259343;1620,2;America/New_York;2;1840015977
Tallahassee;FL;Florida;Leon;30,4551;-84,2527;258696;751,3;America/New_York;2;1840015913
Hialeah;FL;Florida;Miami-Dade;25,8696;-80,3045;222996;3989,5;America/New_York;2;1840015157
Deltona;FL;Florida;Volusia;28,9050;-81,2137;221137;976,3;America/New_York;2;1840015072
Gainesville;FL;Florida;Alachua;29,6804;-82,3459;220929;860,2;America/New_York;2;1840014022
Ocala;FL;Florida;Marion;29,1780;-82,1511;186840;518,8;America/New_York;2;1840015067
Fort Lauderdale;FL;Florida;Broward;26,1412;-80,1464;182673;2039,5;America/New_York;2;1840014236
